operator_name,operator_type,runs,calls,accepted_results,improved_results,acceptance_rate,improvement_rate,average_runtime_weighted,effectiveness_class
D-DroneTask,destroy,588,10701,8370,375,0.78217,0.035043,0.283368,High-frequency / high-value
D-WorstTime,destroy,610,7530,4396,210,0.583798,0.027888,0.14871,High-frequency / high-value
D-ChargingCritical,destroy,501,5350,2615,193,0.488785,0.036075,0.325508,High-frequency / high-value
D-Crossing,destroy,536,4815,2436,171,0.505919,0.035514,0.757803,High-frequency / high-value
D-SyncCritical,destroy,153,2086,1603,31,0.768456,0.014861,0.304434,High-frequency / high-value
D-RouteRemoval,destroy,237,4225,3377,28,0.79929,0.006627,0.156639,High-frequency / low-value
D-AngleSector,destroy,150,1498,938,27,0.626168,0.018024,0.363083,High-frequency / high-value
D-Cluster,destroy,157,1094,598,20,0.546618,0.018282,10.38884,High-frequency / high-value
D-Random,destroy,249,2717,1871,19,0.688627,0.006993,0.163954,High-frequency / low-value
LS-DroneRebuildV2,local_search,353,18998,18550,2791,0.976419,0.14691,0.053495,High-frequency / high-value
H-DroneReassign,local_search,291,9098,9098,1433,1.0,0.157507,0.23665,High-frequency / high-value
LS-DroneRebuild,local_search,49,7320,7232,812,0.987978,0.110929,0.005128,High-frequency / high-value
LS-RouteMergeV2,local_search,240,13701,13701,393,1.0,0.028684,1.2141,High-frequency / high-value
LS-RelocateV2,local_search,389,21738,21738,254,1.0,0.011685,0.040734,High-frequency / high-value
H-CrossRouteRelocateNoNewVehicle,local_search,291,9098,9098,121,1.0,0.0133,0.00919,High-frequency / high-value
LS-CrossingRemoval,local_search,350,18261,18261,65,1.0,0.003559,0.019963,High-frequency / low-value
LS-Relocate,local_search,49,7320,7320,31,1.0,0.004235,0.011988,High-frequency / low-value
H-SwapSameVehicle,local_search,291,9098,9098,9,1.0,0.000989,0.007393,High-frequency / low-value
H-RelocateSameVehicle,local_search,291,9098,9098,7,1.0,0.000769,0.00805,High-frequency / low-value
H-LaunchRecoverAdjust,local_search,291,9098,9098,1,1.0,0.00011,0.001167,High-frequency / low-value
LS-PetalPolish,local_search,167,8574,8574,1,1.0,0.000117,0.005167,High-frequency / low-value
LS-ChargingCleanup,local_search,389,21729,21729,0,1.0,0.0,0.001419,High-frequency / low-value
H-ChargingPolish,local_search,291,9098,9098,0,1.0,0.0,0.00405,High-frequency / low-value
H-WaitingReduction,local_search,291,9098,9098,0,1.0,0.0,0.043295,High-frequency / low-value
H-PetalPolish,local_search,291,9098,9098,0,1.0,0.0,0.008008,High-frequency / low-value
LS-RouteMerge,local_search,49,7320,7320,0,1.0,0.0,0.0014,High-frequency / low-value
R-TWAware,repair,614,9899,6776,329,0.684514,0.033236,0.107647,High-frequency / high-value
R-EnergyAware,repair,631,7724,5196,264,0.672708,0.034179,0.465045,High-frequency / high-value
R-Regret2,repair,637,9434,6491,262,0.688043,0.027772,1.520277,High-frequency / high-value
R-DroneAware,repair,576,6170,3634,98,0.588979,0.015883,0.162695,High-frequency / high-value
R-VehicleReduction,repair,213,2574,1669,58,0.648407,0.022533,0.507693,High-frequency / high-value
R-ClusterInsertion,repair,144,1505,866,25,0.575415,0.016611,0.461027,High-frequency / high-value
R-PetalAware,repair,152,1301,729,20,0.560338,0.015373,0.446513,High-frequency / high-value
R-SweepInsertion,repair,146,1215,690,18,0.567901,0.014815,0.498411,High-frequency / high-value
R-ChargingAwareV2,repair,8,194,153,0,0.78866,0.0,0.016265,Low-frequency / low-value
