charging_policy,policy_family,method,runs,feasible_runs,feasible_rate,infeasible_runs,feasible_vehicle_count_mean,feasible_vehicle_count_median,feasible_vehicle_count_std,feasible_total_distance_mean,feasible_total_distance_median,feasible_total_distance_std,feasible_truck_distance_mean,feasible_truck_distance_median,feasible_truck_distance_std,feasible_drone_distance_mean,feasible_drone_distance_median,feasible_drone_distance_std,feasible_completion_time_mean,feasible_completion_time_median,feasible_completion_time_std,feasible_charging_count_mean,feasible_charging_count_median,feasible_charging_count_std,feasible_charging_time_mean,feasible_charging_time_median,feasible_charging_time_std,feasible_waiting_time_mean,feasible_waiting_time_median,feasible_waiting_time_std,feasible_truck_waiting_time_mean,feasible_truck_waiting_time_median,feasible_truck_waiting_time_std,feasible_drone_waiting_time_mean,feasible_drone_waiting_time_median,feasible_drone_waiting_time_std,feasible_petal_score_mean,feasible_petal_score_median,feasible_petal_score_std,feasible_crossing_count_mean,feasible_crossing_count_median,feasible_crossing_count_std,feasible_paper_cost_mean,feasible_paper_cost_median,feasible_paper_cost_std,runtime_mean,runtime_median,runtime_std,runtime_max,runtime_gt_500_count,runtime_gt_1000_count
LFC,Linear / Full,ALNS,9,7,77.778,2,9.0,9.0,1.0,883.476187,819.549914,137.77589,817.655801,772.288842,137.258927,65.820386,61.420922,30.427989,347.996813,229.502976,331.379762,4.714286,4.0,2.497618,166.309045,147.098593,87.939814,1080.331324,454.632367,1540.128914,977.618267,454.632367,1316.379436,102.713058,0.0,230.241075,760.190452,615.140699,276.867503,14.857143,12.0,5.429198,1345.546328,1079.150915,598.827845,90.633511,90.491424,0.518624,91.565979,0,0
LFC,Linear / Full,GA,9,6,66.667,3,8.0,8.0,1.095445,918.289716,913.036598,143.030571,848.311232,865.651804,117.935868,69.978484,72.935463,67.651358,375.692237,235.184599,356.551631,6.0,5.0,2.683282,200.75867,178.156644,98.459161,620.925751,434.921718,619.767558,620.925751,434.921718,619.767558,0.0,0.0,0.0,857.064893,494.312031,723.980949,16.666667,9.5,14.375906,1274.279824,1166.668252,357.281627,182.508805,71.003212,338.275377,1083.48245,1,1
LFC,Linear / Full,Hybrid,9,6,66.667,3,8.0,8.0,1.095445,875.013361,824.042915,130.559138,807.066495,811.309434,89.728241,67.946865,20.878388,90.315876,373.191635,225.362699,357.609091,5.0,5.0,2.75681,157.639818,144.07312,89.198116,692.930463,424.387972,633.48707,692.930463,424.387972,633.48707,0.0,0.0,0.0,700.774678,417.838441,613.468981,13.5,8.0,11.928956,1205.885795,1067.256182,363.282897,61.55694,62.854488,6.414223,69.334928,0,0
LPC,Linear / Partial,ALNS,9,7,77.778,2,8.714286,9.0,0.95119,883.501689,882.821674,103.939541,801.337846,825.810502,125.726496,82.163844,78.372884,50.440042,343.707607,227.212707,333.191427,7.142857,7.0,3.625308,80.751952,70.103948,45.140138,1097.345015,483.848853,1558.310845,981.809524,483.848853,1339.320752,115.535491,18.647344,225.091842,595.062389,609.069381,134.919479,11.571429,12.0,2.636737,1267.473768,1073.887835,556.383102,90.556759,90.493707,0.537152,91.442813,0,0
LPC,Linear / Partial,GA,9,6,66.667,3,7.166667,7.0,1.32916,909.184741,889.899146,118.07908,772.092612,802.213191,108.123923,137.092129,143.039204,106.497705,374.745151,231.314503,356.778458,7.666667,7.5,3.204164,110.420603,96.360383,67.878961,732.467854,462.736194,802.189123,581.821421,417.076283,495.808066,150.646434,3.901385,322.448862,608.758667,541.511923,315.792236,11.666667,10.5,6.08824,1240.383916,1084.450545,444.100041,73.030853,64.859852,20.267386,96.047358,0,0
LPC,Linear / Partial,Hybrid,9,7,77.778,2,7.571429,7.0,1.618347,897.990784,880.16795,126.157007,765.629193,801.312855,87.058943,132.361591,136.227019,106.99384,346.082273,221.373902,334.073365,7.285714,7.0,2.870208,97.579998,83.018066,66.109076,681.075028,469.63637,731.88026,564.995202,469.63637,437.511955,116.079826,0.0,303.691576,789.015108,782.718148,446.524075,15.285714,15.0,8.826367,1194.859496,1039.866885,423.516229,64.210524,65.494222,4.92339,69.369186,0,0
NFC,Nonlinear / Full,ALNS,9,6,66.667,3,9.0,9.0,0.894427,849.55962,805.656803,113.97551,784.193628,750.874384,112.791347,65.365992,69.696522,33.916667,380.916144,239.122524,352.248074,4.333333,3.5,2.65832,242.731195,192.39606,151.905527,1190.543736,545.104573,1597.899005,1061.580634,539.889254,1364.070628,128.963101,5.215318,246.305173,690.604395,615.787705,405.090245,13.5,12.0,8.018728,1422.167524,1113.709643,666.304847,1294.781204,90.404375,3612.930269,10929.261842,1,1
NFC,Nonlinear / Full,GA,9,6,66.667,3,8.166667,8.5,1.169045,871.686244,898.140294,120.331164,784.793236,812.678983,107.851805,86.893009,87.729484,42.626366,392.378315,260.779362,346.676551,4.666667,4.0,2.804758,248.166275,220.538143,128.085555,750.902939,534.241279,618.405274,702.509034,483.424771,573.346161,48.393906,17.50031,62.432119,625.267541,560.812283,383.265583,12.166667,11.0,7.547627,1319.676731,1262.78808,374.016654,1279.066011,82.295583,3616.397036,10922.699444,1,1
NFC,Nonlinear / Full,Hybrid,9,6,66.667,3,8.333333,9.0,1.21106,894.485362,876.482234,107.336545,804.88159,851.150708,101.008588,89.603772,106.624956,77.16979,393.434386,260.779362,348.24747,5.166667,5.0,2.316607,287.641738,286.185221,123.443866,706.044365,542.317419,590.722331,694.103487,515.429193,594.671638,11.940879,3.801084,15.831163,755.025671,697.778401,517.942987,14.666667,13.5,10.171857,1361.623411,1273.497826,330.096898,62.656817,61.427072,6.224478,73.30088,0,0
NPC,Nonlinear / Partial,ALNS,9,7,77.778,2,8.857143,9.0,0.899735,878.809357,855.03108,106.121459,797.893919,782.188089,115.332562,80.915439,83.852385,33.482461,344.352976,219.334686,332.995162,6.571429,6.0,3.735289,76.090921,58.09782,54.685737,1101.602533,466.093184,1546.211721,1000.167833,466.093184,1319.354374,101.4347,3.54102,229.242709,543.420005,567.087553,174.45878,10.571429,11.0,3.408672,1255.659586,1036.378233,568.609993,350.56427,90.798352,762.909955,2384.601612,1,1
