Experiment ID,Stage,problem version,customer count,source instance,algorithm,charging policy,seeds,time budget / iterations,config path,result path,diagnostics path,experiment purpose,directly comparable,final classification
E001,ALNS ablation,final Truck-Drone EVRPTW-NL,25,"R101, C101, RC101","alns_core, alns_vehicle, alns_petal, alns_drone, alns_charging, alns_full","LFC, LPC, NFC, NPC",,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/alns_ablation_25.yaml,results/alns_ablation_summary.csv,results/alns_diagnostics.csv / results/alns_operator_summary.csv,ALNS ablation,No,SUPPORTING
E002,ALNS ablation,final Truck-Drone EVRPTW-NL,50,"R101, C101, RC101","alns_core, alns_vehicle, alns_petal, alns_drone, alns_charging, alns_full","LFC, LPC, NFC, NPC",,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/alns_ablation_50.yaml,results/alns_ablation_summary.csv,results/alns_diagnostics.csv / results/alns_operator_summary.csv,ALNS ablation,No,SUPPORTING
E003,debug/smoke validation,historical/development,"5, 10","R101, C101, RC101","alns_core, alns_vehicle, alns_petal, alns_drone, alns_charging, alns_full",NPC,,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/alns_ablation_debug.yaml,debug or smoke output,results/alns_diagnostics.csv / results/alns_operator_summary.csv,debug/smoke validation,No,EXCLUDED
E004,debug/smoke validation,historical/development,"5, 10","R101, C101, RC101","ga, alns, hybrid","LFC, LPC, NFC, NPC",,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/debug_small.yaml,debug or smoke output,Data unavailable,debug/smoke validation,No,EXCLUDED
E005,Hybrid development,final Truck-Drone EVRPTW-NL,25,"R101, C101, RC101","ga, alns_full, hybrid_topk, hybrid_stagnation, hybrid_diverse_topk, hybrid_diverse_stagnation",NPC,"1987, 42, 128",120s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_final_25.yaml,stage-specific summary,results/alns_diagnostics.csv / results/alns_operator_summary.csv,Hybrid development,No,SUPPORTING
E006,final 25-customer formal experiment,final Truck-Drone EVRPTW-NL,25,"R101, C101, RC101","ga, alns_full, hybrid_diverse_topk","LFC, LPC, NFC, NPC","1987, 42, 128",90s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_final_25_overnight.yaml,results/hybrid_final_25_overnight/summary.csv,results/alns_diagnostics.csv / results/alns_operator_summary.csv,final 25-customer formal experiment,"Yes, within same config only",MAIN
E007,debug/smoke validation,historical/development,25,R101,"ga, alns_full, hybrid_diverse_topk",NPC,1987,120s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_final_25_smoke.yaml,debug or smoke output,results/alns_diagnostics.csv / results/alns_operator_summary.csv,debug/smoke validation,No,EXCLUDED
E008,Hybrid development,final Truck-Drone EVRPTW-NL,50,"R101, C101, RC101","ga, alns_full, hybrid_topk, hybrid_stagnation, hybrid_diverse_topk, hybrid_diverse_stagnation",NPC,"1987, 42, 128",240s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_final_50.yaml,stage-specific summary,results/alns_diagnostics.csv / results/alns_operator_summary.csv,Hybrid development,No,SUPPORTING
E009,debug/smoke validation,historical/development,10,"R101, C101, RC101","ga, alns_full, hybrid_topk, hybrid_stagnation, hybrid_diverse_topk, hybrid_diverse_stagnation",NPC,,30s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_final_debug.yaml,debug or smoke output,results/alns_diagnostics.csv / results/alns_operator_summary.csv,debug/smoke validation,No,EXCLUDED
E010,Hybrid development,final Truck-Drone EVRPTW-NL,25,"R101, C101, RC101","ga, alns_full, hybrid_topk, hybrid_preserve, hybrid_periodic, hybrid_stagnation",NPC,,120s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_stage6_25.yaml,stage-specific summary,results/alns_diagnostics.csv / results/alns_operator_summary.csv,Hybrid development,No,SUPPORTING
E011,debug/smoke validation,historical/development,10,"R101, C101, RC101","ga, alns_full, hybrid_topk, hybrid_preserve, hybrid_periodic, hybrid_stagnation",NPC,,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_stage6_debug.yaml,debug or smoke output,results/alns_diagnostics.csv / results/alns_operator_summary.csv,debug/smoke validation,No,EXCLUDED
E012,Hybrid development,final Truck-Drone EVRPTW-NL,25,"R101, C101, RC101","ga, alns_full, hybrid_topk, hybrid_preserve, hybrid_periodic, hybrid_stagnation","LFC, LPC, NFC, NPC",,120s,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_stage_25.yaml,stage-specific summary,results/alns_diagnostics.csv / results/alns_operator_summary.csv,Hybrid development,No,SUPPORTING
E013,debug/smoke validation,historical/development,"5, 10","R101, C101, RC101","ga, alns_full, hybrid_refine, hybrid_topk, hybrid_preserve, hybrid_periodic, hybrid_stagnation",NPC,,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/hybrid_stage_debug.yaml,debug or smoke output,results/alns_diagnostics.csv / results/alns_operator_summary.csv,debug/smoke validation,No,EXCLUDED
E014,petal/spatial development,final Truck-Drone EVRPTW-NL,25,"R101, C101, RC101","ga_td_petal, alns_td_petal","LFC, LPC, NFC, NPC",,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/petal_25.yaml,results/petal_comparison_summary.csv,Data unavailable,petal/spatial development,No,SUPPORTING
E015,petal/spatial development,final Truck-Drone EVRPTW-NL,50,"R101, C101, RC101","ga_td_petal, alns_td_petal",NPC,,Data unavailable,D:/学习/FURP/VRP_project/TruckDrone_EVRPTW_NL/configs/petal_50.yaml,results/petal_comparison_summary.csv,Data unavailable,petal/spatial development,No,SUPPORTING
