source_instance,charging_policy,runs,feasible_rate,candidate_count_mean,selected_candidate_count_mean,alns_improved_candidates_mean,best_improvement_percentage_mean,paper_cost_before_mean,paper_cost_after_mean,selected_candidate_types
R101,LFC,3,66.667,15.0,3.0,1.666667,31.762425,1114.114105,1081.345784,"drone_aggressive,balanced,vehicle_oriented;time_window_oriented,balanced,vehicle_oriented;vehicle_oriented,balanced,time_window_oriented"
R101,LPC,3,100.0,13.666667,3.0,1.666667,33.282005,1040.535136,1019.098831,"distance_oriented,vehicle_oriented,balanced;drone_aggressive,balanced,time_window_oriented;vehicle_oriented,petal_oriented,drone_aggressive"
R101,NFC,3,66.667,15.0,3.0,2.0,26.336414,1187.183989,1189.923087,"drone_aggressive,vehicle_oriented,distance_oriented;drone_aggressive,vehicle_oriented,drone_conservative;vehicle_oriented,balanced,charging_oriented"
R101,NPC,3,100.0,13.0,3.0,2.0,33.598582,1064.758765,984.898053,"drone_aggressive,balanced,distance_oriented;time_window_oriented,balanced,vehicle_oriented;vehicle_oriented,drone_aggressive,balanced"
C101,LFC,3,33.333,13.0,3.0,0.666667,61.501346,1637.679731,1698.601102,"time_window_oriented,balanced,drone_aggressive;vehicle_oriented,distance_oriented,balanced;vehicle_oriented,time_window_oriented,balanced"
C101,LPC,3,33.333,15.0,3.0,0.333333,14.850938,1703.822586,1740.45974,"balanced,time_window_oriented,distance_oriented;drone_aggressive,vehicle_oriented,charging_oriented;drone_conservative,drone_aggressive,balanced"
C101,NFC,3,33.333,15.0,3.0,0.666667,63.403084,1864.683099,2032.040715,"time_window_oriented,balanced,drone_aggressive;vehicle_oriented,balanced,drone_aggressive;vehicle_oriented,balanced,time_window_oriented"
C101,NPC,3,33.333,17.0,3.0,0.666667,44.828295,1682.0394,1710.157219,"drone_aggressive,vehicle_oriented,balanced;drone_conservative,balanced,drone_aggressive;vehicle_oriented,drone_conservative,balanced"
RC101,LFC,3,100.0,16.0,3.0,2.0,3.443179,1135.73918,1067.165347,"balanced,drone_aggressive,vehicle_oriented;balanced,time_window_oriented,vehicle_oriented;drone_conservative,balanced,charging_oriented"
RC101,LPC,3,100.0,15.333333,3.0,0.666667,0.000612,1056.59957,1055.462323,"balanced,drone_conservative,distance_oriented;balanced,time_window_oriented,distance_oriented;drone_conservative,charging_oriented,drone_aggressive"
RC101,NFC,3,100.0,16.0,3.0,2.0,2.374188,1317.871942,1299.988794,"drone_conservative,balanced,time_window_oriented;petal_oriented,vehicle_oriented,drone_conservative;time_window_oriented,vehicle_oriented,distance_oriented"
RC101,NPC,3,100.0,16.0,3.0,0.666667,0.0,1119.8171,1119.8171,"balanced,drone_conservative,distance_oriented;drone_conservative,distance_oriented,balanced;drone_conservative,drone_aggressive,time_window_oriented"
